name,n_neighbors,accuracy,precision,recall,f1score
KNeighborsClassifier,1,0.9139611956626661,0.9178601842533096,0.8802435221620016,0.8986583794436442
KNeighborsClassifier,3,0.9235174876926542,0.94254707947654,0.8769767614522236,0.9085804392138763
KNeighborsClassifier,5,0.9252228192670292,0.9487076254126742,0.8747494246046477,0.9102286773794809
KNeighborsClassifier,7,0.9254158756716754,0.9515671823114926,0.8722993540723142,0.9102107220328477
KNeighborsClassifier,9,0.9260272209530551,0.9544344995931652,0.8708887074021828,0.910749640902209
KNeighborsClassifier,11,0.9260915730879372,0.955702398433676,0.8697750389783948,0.9107163680180356
KNeighborsClassifier,13,0.9264776858972297,0.9567134923227704,0.8697007944168089,0.9111344456111694
KNeighborsClassifier,15,0.9265098619646707,0.9573893841498323,0.869106837924122,0.9111145703611456
KNeighborsClassifier,17,0.9257054602786448,0.9570773263433814,0.8674734575692331,0.9100751645441445
KNeighborsClassifier,19,0.925962868818173,0.9574049803407602,0.8677704358155766,0.9103867274214278
KNeighborsClassifier,21,0.9251262910647061,0.9571639586410635,0.8659885663375158,0.9092964334437732
KNeighborsClassifier,23,0.9252228192670292,0.9575498809426062,0.8658400772143441,0.9093886462882096
KNeighborsClassifier,25,0.9240323047717108,0.9568185556835006,0.863686984928354,0.907870605221056
KNeighborsClassifier,27,0.923356607355449,0.9563678274471062,0.8624990719429801,0.9070112429731418
KNeighborsClassifier,29,0.9223269731973358,0.9558762886597938,0.8604944687801619,0.9056810189888256
