Algorithm,R2,MSE,RMSE,MAE,MAPE
Baseline,0.0,478.012559979818,21.863498347241183,17.3650904457618,8.742212844953096
Linear Regression,0.04605830473391903,455.99611182562677,21.35406546364478,16.998249066011095,8.653185943804512
Decision Tree,0.11352273212445407,423.7472681811045,20.585122496140375,16.368766312461414,7.869536027810437
Random Forest,0.9052689168626066,45.282647560166396,6.729238260023671,4.819884058950598,2.6149520712616305
Polynomial Regression,0.09419491057528084,432.9862096386579,20.80832068280999,16.45803175582444,8.350539820928116
Linear Regression Lasso,0.04121892393099136,458.3093966319514,21.408161916240065,17.046775536013428,8.667963911977184
Linear Regression Ridge,0.046017904736505244,456.01542353181367,21.354517637535473,16.999015666154754,8.655049627673895
Linear Regression Elastic Net,0.04121892393099136,458.3093966319514,21.408161916240065,17.046775536013428,8.667963911977184
Polynomial Regression Lasso,0.06790875899793247,445.55132024616375,21.108086607889494,16.7432582947007,8.556923515858488
Polynomial Regression Ridge,0.09283710377625354,433.635258342619,20.82391073604137,16.476004047111342,8.378144861197066
Polynomial Regression Elastic Net,0.06790875899793247,445.55132024616375,21.108086607889494,16.7432582947007,8.556923515858488
